canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family
CNCCCCN1Cc2ccccc2N(c2ccccc2F)S1(=O)=O,P23975,,38.0,,7.42,Transporter
CNCCN1Cc2cc(F)ccc2N(c2ccccc2F)S1(=O)=O,P23975,,1400.0,,5.854,Transporter
Oc1ccccc1C[C@H](c1ccccc1)N1CCNCC1,P23975,58.0,,7.237,,Transporter
CNC[C@@H](O)CCN1c2ccccc2N(c2ccccc2C)S1(=O)=O,P23975,,43.0,,7.367,Transporter
COc1ccccc1CC(c1cccc(F)c1)N1CCNCC1,P23975,30.0,,7.523,,Transporter
CNC[C@H](O)CCN1c2ccccc2N(c2cccc(OC)c2)S1(=O)=O,P23975,,111.5,,6.953,Transporter
CNC[C@@H](O)CCN1c2ccccc2N(c2cccc(OC)c2)S1(=O)=O,P23975,,22.0,,7.658,Transporter
CNCCCN1c2ccccc2N(c2ccccc2F)S1(=O)=O,P23975,,1.85,,8.733,Transporter
COc1ccccc1CC(c1ccc(F)cc1)N1CCNCC1,P23975,100.0,,7.0,,Transporter
CNCC(F)(F)CN1c2ccccc2N(c2ccccc2F)S1(=O)=O,P23975,,166.0,,6.78,Transporter
CNCCCN1Cc2ccccc2N(c2cccc(OC)c2)S1(=O)=O,P23975,,790.0,,6.102,Transporter
CNCCCN1Cc2ccccc2N(c2ccc(F)cc2)S1(=O)=O,P23975,,490.0,,6.31,Transporter
CNCCCN1Cc2ccccc2N(c2ccc(C)cc2)S1(=O)=O,P23975,,140.0,,6.854,Transporter
CNCCCN1Cc2ccccc2N(c2ccc(OC)cc2)S1(=O)=O,P23975,,3550.0,,5.45,Transporter
COc1ccccc1CC(c1ccccc1F)N1CCNCC1,P23975,97.0,,7.013,,Transporter
CN(C)CC(O)CCN1c2ccccc2N(c2ccccc2)S1(=O)=O,P23975,,481.0,,6.318,Transporter
COc1c(F)cccc1CC(c1ccccc1)N1CCNCC1,P23975,84.0,,7.076,,Transporter
