canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family
CC1CCc2c(nc(CCCCN3CCN(c4ccc5ccccc5n4)CC3)n(N)c2=O)C1,P46098,,97.9,,7.009,Ion Channel
CN1[C@@H]2CC[C@H]1CC(OC(=O)c1cc(Cl)cc(Cl)c1)C2,P46098,,6.9,,8.161,Ion Channel
N=C(N)NC(=N)Nc1cccc(Cl)c1,P46098,,3800.0,,5.42,Ion Channel
N=C(N)Nc1cccc(Cl)c1,P46098,32.0,,7.495,,Ion Channel
c1ccc2c(CSc3[nH]cnc4ncnc3-4)cccc2c1,P46098,,730.0,,6.137,Ion Channel
Nc1ccc2cc3ccccc3nc2c1,P46098,1000.0,,6.0,,Ion Channel
NC1=Nc2ccc(Cl)c(Cl)c2CN1,P46098,172.0,,6.764,,Ion Channel
CC(C)Cn1nc2c3c(cccc31)C(=O)N([C@@H]1CN3CCC1CC3)C2,P46098,2.4,,8.62,,Ion Channel
O=C(N[C@H]1CN2CCC1CC2)c1c[nH]c2ccsc2c1=O,P46098,,7.3,,8.137,Ion Channel
O=C1c2cccc3[nH]nc(c23)CN1[C@H]1CN2CCC1CC2,P46098,4.4,14.5,8.357,7.839,Ion Channel
O=C1c2cccc3[nH]nc(c23)CN1[C@@H]1CN2CCC1CC2,P46098,4.9,,8.31,,Ion Channel
Cn1nc2c3c(cccc31)C(=O)N([C@H]1CN3CCC1CC3)C2,P46098,1.7,9.75,8.77,8.011,Ion Channel
Cn1nc2c3c(cccc31)C(=O)N([C@@H]1CN3CCC1CC3)C2,P46098,0.7,,9.155,,Ion Channel
Cn1nc2c3c(cc(F)cc31)C(=O)N([C@H]1CN3CCC1CC3)C2,P46098,2.0,,8.699,,Ion Channel
CCn1nc2c3c(cccc31)C(=O)N([C@H]1CN3CCC1CC3)C2,P46098,2.0,,8.699,,Ion Channel
CCn1nc2c3c(cccc31)C(=O)N([C@@H]1CN3CCC1CC3)C2,P46098,1.6,,8.796,,Ion Channel
CC(C)n1nc2c3c(cccc31)C(=O)N([C@H]1CN3CCC1CC3)C2,P46098,3.6,,8.444,,Ion Channel
CC(C)n1nc2c3c(cccc31)C(=O)N([C@@H]1CN3CCC1CC3)C2,P46098,2.3,,8.638,,Ion Channel
O=C1c2cccc3c2c(nn3Cc2ccccc2)CN1[C@H]1CN2CCC1CC2,P46098,7.1,,8.149,,Ion Channel
O=C1c2cccc3c2c(nn3-c2ccc(F)cc2)CN1[C@H]1CN2CCC1CC2,P46098,23.4,,7.631,,Ion Channel
O=C1c2cccc3c2c(nn3-c2ccc(F)cc2)CN1[C@@H]1CN2CCC1CC2,P46098,7.9,,8.102,,Ion Channel
Cn1cc2c3c(cccc31)C(=O)N([C@H]1CN3CCC1CC3)C2,P46098,0.9,,9.046,,Ion Channel
Cn1cc2c3c(cccc31)C(=O)N([C@@H]1CN3CCC1CC3)C2,P46098,0.85,,9.071,,Ion Channel
Cn1cc(C(=O)[C@@H]2CCc3[nH]cnc3C2)c2ccccc21,P46098,0.06,,10.222,,Ion Channel
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,P46098,1995.26,,5.7,,Ion Channel
COc1cc(N)c(Cl)cc1C(=O)NC1CCNCC1OC,P46098,,1950.0,,5.71,Ion Channel
O=C(N[C@H]1CN2CCC1CC2)c1ccc(Cl)cc1,P46098,1296.0,,5.887,,Ion Channel
COc1cc(N)c(Cl)cc1C(=O)NC1CN2CCC1CC2,P46098,1.33642,,8.874,,Ion Channel
C[C@@H]1CCCN1CCCOc1ccc(-c2cn[nH]c(=O)c2)cc1,P46098,2.8,,8.553,,Ion Channel
N=C(N)NCCCc1ccccc1,P46098,794.33,,6.1,,Ion Channel
CN1CCC(=Cc2nc3cc(Cl)ccc3[nH]2)CC1,P46098,1.585,,8.8,,Ion Channel
c1nc(CC2CCCCC2)c[nH]1,P46098,1258.93,,5.9,,Ion Channel
C[C@@H]1CCCN1CCCOc1ccc(-c2ccc(=O)[nH]n2)cc1,P46098,2.0,,8.699,,Ion Channel
CCN/C(=N\S(=O)(=O)c1cccc(Cl)c1)N1CC2(C=N1)CCNCC2,P46098,10000.0,,5.0,,Ion Channel
c1ccc2nc(N3CCNCC3)ccc2c1,P46098,3.8405,,8.416,,Ion Channel
C[C@@H]1CCCN1CCCOc1ccc(-c2cnn(-c3ccccn3)c(=O)c2)cc1,P46098,1.7,1.1,8.77,8.959,Ion Channel
c1ccc(-c2cnc3c(c2)C[C@@]2(CN4CCC2CC4)O3)cc1,P46098,2.0,,8.699,,Ion Channel
O=c1cc(-c2ccc(OCCCN3CCCCC3)cc2)cn[nH]1,P46098,19.0,,7.721,,Ion Channel
C[C@@H]1CCCN1CCCOc1ccc(-c2cnn(C)c(=O)c2)cc1,P46098,1.9,,8.721,,Ion Channel
Cn1ncc(-c2ccc(OCCCN3CCCCC3)cc2)cc1=O,P46098,13.0,,7.886,,Ion Channel
Cn1ncc(-c2ccc(OCCCN3CCCCCC3)cc2)cc1=O,P46098,8.1,,8.092,,Ion Channel
CC(C)n1ncc(-c2ccc(OCCCN3CCC[C@H]3C)cc2)cc1=O,P46098,2.7,,8.569,,Ion Channel
Cc1n[nH]c(=O)cc1-c1ccc(OCCCN2CCC[C@H]2C)cc1,P46098,1.6,,8.796,,Ion Channel
Cc1n[nH]c(=O)cc1-c1ccc(OCCCN2CCCCC2)cc1,P46098,7.9,,8.102,,Ion Channel
Cc1n[nH]c(=O)cc1-c1ccc(OCCCN2CCCCCC2)cc1,P46098,4.8,,8.319,,Ion Channel
Cc1nn(C)c(=O)cc1-c1ccc(OCCCN2CCC[C@H]2C)cc1,P46098,2.0,,8.699,,Ion Channel
Cc1nn(C)c(=O)cc1-c1ccc(OCCCN2CCCCC2)cc1,P46098,8.9,,8.051,,Ion Channel
C[C@H]1CCCN1CCCOc1ccc(-c2cnn(-c3ccccn3)c(=O)c2)cc1,P46098,11.0,,7.959,,Ion Channel
O=c1cc(-c2ccc(OCCCN3CCCCC3)cc2)cnn1-c1ccccn1,P46098,7.8,,8.108,,Ion Channel
O=c1cc(-c2ccc(OCCCN3CCCCCC3)cc2)cnn1-c1ccccn1,P46098,5.3,,8.276,,Ion Channel
Cc1cccc(-n2ncc(-c3ccc(OCCCN4CCC[C@H]4C)cc3)cc2=O)n1,P46098,1.8,,8.745,,Ion Channel
