canonical_smiles,uniprot_id,K,AC50,pK,pAC50,Protein_family
CCCOC(=O)N1C[C@@]2(C)O[C@@](C)(C1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,P10275,6.6,,8.18,,NHR
C[C@]12CN(C(=O)Nc3ccc(F)cc3)C[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,P10275,29.0,71.5,7.538,7.146,NHR
C[C@]12CN(S(C)(=O)=O)C[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,P10275,56.0,,7.252,,NHR
CCS(=O)(=O)N1C[C@@]2(C)O[C@@](C)(C1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,P10275,16.0,,7.796,,NHR
C[C@]12CN(S(=O)(=O)c3ccccc3)C[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,P10275,12.0,,7.921,,NHR
C[C@]12CN(S(=O)(=O)c3ccccn3)C[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,P10275,93.0,,7.032,,NHR
C[C@]12CN(c3cccc(S(N)(=O)=O)c3)C[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,P10275,22.0,,7.658,,NHR
C[C@]12CN(c3cccc(S(C)(=O)=O)c3)C[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,P10275,9.4,,8.027,,NHR
C[C@]12CN(c3cc(Cl)ncn3)C[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,P10275,3.5,,8.456,,NHR
C[C@]12CN(c3ncccn3)C[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,P10275,6.1,,8.215,,NHR
C[C@]12CN(c3cccc(C(N)=O)c3)C[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,P10275,9.0,,8.046,,NHR
CN1C(=O)[C@]2(C)O[C@](C)(C1=O)[C@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@H]12,P10275,20.0,2144.0,7.699,5.669,NHR
C[C@]12O[C@](C)(C(=O)N(CC3CC3)C1=O)[C@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@H]12,P10275,50.0,,7.301,,NHR
CC(C)OC(=O)N1C[C@@]2(C)O[C@@](C)(C1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,P10275,11.0,,7.959,,NHR
CC(C)[N+]1([O-])C(=O)[C@]2(C)O[C@](C)(C1=O)[C@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@H]12,P10275,3600.0,4450.0,5.444,5.352,NHR
CCNC(=O)N1C[C@@]2(C)O[C@@](C)(C1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,P10275,176.0,,6.754,,NHR
CC(C)N1C(=O)[C@]2(C)O[C@](C)(C1=O)[C@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@H]12,P10275,14.0,,7.854,,NHR
C[C@]12CN(O)C[C@](C)(O1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,P10275,37.0,,7.432,,NHR
CON1C[C@@]2(C)O[C@@](C)(C1)[C@@H]1C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)[C@@H]12,P10275,3.7,,8.432,,NHR
CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,P10275,,50.0,,7.301,NHR
C[C@@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,P10275,365.0,,6.438,,NHR
CC(=O)Nc1ccc(OC[C@](C)(O)C(=O)Nc2ccc([N+](=O)[O-])c(C(F)(F)F)c2)cc1,P10275,4.0,,8.398,,NHR
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@]1(C)CC=CC(=O)N1,P10275,,3000.0,,5.523,NHR
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@]1(C)CC=CC(=O)N1,P10275,,500.0,,6.301,NHR
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@@]1(C)CC=CC(=O)N1,P10275,,2000.0,,5.699,NHR
C[C@]12CC[C@H]3[C@@H](CC=C4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@@]1(C)CC=CC(=O)N1,P10275,,2000.0,,5.699,NHR
C[C@@](O)(COc1ccc(F)cc1)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,P10275,6.0,,8.222,,NHR
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,P10275,5.275,7.857142857142858,8.278,8.105,NHR
OC1(C(F)(F)F)CCCc2c1[nH]c1cc(Cl)c(Cl)cc21,P10275,,27.0,,7.569,NHR
OC1(C(F)(F)F)CCc2c1[nH]c1c(Cl)cc(Cl)cc21,P10275,,13.0,,7.886,NHR
Oc1cccc2c1[nH]c1ccc(Br)cc12,P10275,,1420.0,,5.848,NHR
N#Cc1ccc2[nH]c3c(O)cccc3c2c1,P10275,,4600.0,,5.337,NHR
Oc1c(Br)ccc2c1[nH]c1cc(Cl)c(Cl)cc12,P10275,,34.0,,7.469,NHR
Oc1cccc2c1[nH]c1ccc(Cl)c(Cl)c12,P10275,,15.0,,7.824,NHR
OC1(C(F)(F)F)CCCc2c1[nH]c1c(Cl)cc(Cl)cc21,P10275,,34.0,,7.469,NHR
OC1(C(F)(F)F)CCCc2c1[nH]c1c(Cl)ccc(Cl)c21,P10275,,85.0,,7.071,NHR
OC1(C(F)(F)F)CCCc2c1[nH]c1c(Cl)cc(F)cc21,P10275,,90.0,,7.046,NHR
CC1(O)CCCc2c1[nH]c1ccc(C#N)cc21,P10275,,9200.0,,5.036,NHR
N#Cc1ccc2[nH]c3c(c2c1)CCCC3(O)C(F)(F)F,P10275,,480.0,,6.319,NHR
CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1cccc(S(N)(=O)=O)c1,P10275,,200.0,,6.699,NHR
OC1(C(F)(F)F)CCCCc2c1[nH]c1c(Cl)cc(Cl)cc21,P10275,,600.0,,6.222,NHR
OC1(C(F)(F)C(F)(F)F)CCCc2c1[nH]c1cc(Cl)c(Cl)cc21,P10275,,34.0,,7.469,NHR
OC1(C(F)(F)F)c2[nH]c3c(Cl)cc(Cl)cc3c2CCC1(F)F,P10275,,100.0,,7.0,NHR
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,P10275,2680.6666666666665,34000.0,5.572,4.469,NHR
CC1(C)Nc2ccc(-c3csc(C#N)c3)cc2C(C)(C)C1=O,P10275,,1100.0,,5.959,NHR
CC1=CC(C)(C)Nc2ccc(-c3sc(C#N)cc3C)cc21,P10275,,200.0,,6.699,NHR
COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1,P10275,,1600000.0,,2.796,NHR
CC1=CC(C)(C)Nc2ccc(-c3ccc(C#N)s3)cc21,P10275,,1110.0,,5.955,NHR
CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ncccc1C)Oc1ccc(F)cc1-3,P10275,,203.0,,6.693,NHR
Cc1cc(C#N)sc1-c1ccc2c(c1)C(C)(C)C(=O)C(C)(C)N2,P10275,,150.0,,6.824,NHR
CC1=CC(C)(C)Nc2ccc(-c3ccc([N+](=O)[O-])s3)cc21,P10275,,1460.0,,5.836,NHR
Cc1cc(C#N)sc1-c1ccc2c(c1)C(C)CC(C)(C)N2,P10275,,45.0,,7.347,NHR
CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccsc1)Oc1ccc(F)cc1-3,P10275,669.0,215.0,6.175,6.668,NHR
CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1)Oc1ccccc1-3,P10275,,650.0,,6.187,NHR
CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1)Oc1ccc(F)cc1-3,P10275,,640.0,,6.194,NHR
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,P10275,,19.1,,7.719,NHR
Cc1cccc(N2CCN(C(=O)CSCc3c(C)noc3C)CC2)c1C,P10275,,7300.0,,5.137,NHR
Cc1cc(O)nc2ccc(S(=O)(=O)Nc3ccc(O)cc3)cc12,P10275,,8960.0,,5.048,NHR
CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1cc(F)ccc1F)Oc1ccccc1-3,P10275,,1600.0,,5.796,NHR
Nc1nc(-c2ccc3ccccc3c2)cs1,P10275,,9880.0,,5.005,NHR
Fc1ccc(-c2csc(N3CCOCC3)n2)cc1,P10275,,530.0,,6.276,NHR
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12,P10275,39.4,,7.405,,NHR
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,P10275,,258.8,,6.587,NHR
Fc1ccc(-c2csc(-c3ccncc3)n2)cc1,P10275,,1270.0,,5.896,NHR
c1ccc(-c2csc(-c3ccncc3)n2)cc1,P10275,,915.0,,6.039,NHR
COc1cccc2oc(-c3ccc(F)cc3)cc(=O)c12,P10275,,1615.905,,5.792,NHR
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,P10275,5.7,0.3,8.244,9.523,NHR
O=c1cc(C(F)(F)F)c2ccc(OCc3ccccc3)cc2o1,P10275,,1180.0,,5.928,NHR
CS(=O)(=O)Nc1ccc(OCc2ccccc2)cc1,P10275,,6110.0,,5.214,NHR
CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CCOCCOCc1ccc(O)c(C(N)=O)c1,P10275,,77.0,,7.114,NHR
CC1(C)NC(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C1=O,P10275,,6.0,,8.222,NHR
Fc1ccc(-c2csc(N3CCSCC3)n2)cc1,P10275,,1590.0,,5.799,NHR
O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,P10275,,9700.0,,5.013,NHR
CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CC#CCOCc1ccc(O)c(C(N)=O)c1,P10275,,49.0,,7.31,NHR
